series_id,nama_kabupaten_kota,periode_update,kategori,jumlah
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2020-01-01,Beras Medium,8869.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2020-02-01,Beras Medium,8375.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2020-03-01,Beras Medium,8275.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2020-04-01,Beras Medium,8000.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2020-05-01,Beras Medium,8350.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2020-06-01,Beras Medium,8500.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2020-07-01,Beras Medium,8613.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2020-08-01,Beras Medium,8688.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2020-09-01,Beras Medium,8656.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2020-10-01,Beras Medium,10750.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2020-11-01,Beras Medium,8963.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2020-12-01,Beras Medium,9000.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2021-01-01,Beras Medium,9000.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2021-02-01,Beras Medium,9000.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2021-03-01,Beras Medium,8350.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2021-04-01,Beras Medium,8000.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2021-05-01,Beras Medium,8000.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2021-06-01,Beras Medium,8377.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2021-07-01,Beras Medium,8300.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2021-08-01,Beras Medium,8300.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2021-09-01,Beras Medium,7927.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2021-10-01,Beras Medium,8300.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2021-11-01,Beras Medium,8329.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2021-12-01,Beras Medium,8500.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2022-01-01,Beras Medium,8500.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2022-02-01,Beras Medium,8500.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2022-03-01,Beras Medium,8500.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2022-04-01,Beras Medium,8281.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2022-05-01,Beras Medium,8000.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2022-06-01,Beras Medium,7589.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2022-07-01,Beras Medium,7500.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2022-08-01,Beras Medium,7500.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2022-09-01,Beras Medium,8345.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2022-10-01,Beras Medium,9425.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2022-11-01,Beras Medium,9500.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2022-12-01,Beras Medium,9969.0
